Designator,Footprint,Quantity,Value,LCSC Part #
U2,WEMOS_LoLin32_Lite,1,WeMos_LoLin32_Lite,
C5,C_0805_2012Metric,1,10uF,
TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3V3,
TP11,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND,
R5,R_0805_2012Metric,1,10K,
R10,R_0805_2012Metric,1,100K,
C10,C_0805_2012Metric,1,0.1uF,
H1,MountingHole_3.2mm_M3_BARE,1,MountingHole,
U6,VXO7805-500-M-TR,1,VXO7805-500-M-TR,
U4,UDA1334_AudioBreakout,1,UDA1334A,
H4,MountingHole_3.2mm_M3_BARE,1,MountingHole,
TP6,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,BCK,
TP10,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,WSEL,
C4,CP_EIA-6032-20_AVX-F,1,10uF,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,CANTX,
TP8,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,5V0,
R12,R_1206_3216Metric,1,0R,
H3,MountingHole_3.2mm_M3_BARE,1,MountingHole,
C8,C_0805_2012Metric,1,0.1uF,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,DOUT,
C3,C_0805_2012Metric,1,2.2uF,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
C1,C_0805_2012Metric,1,2.2uF,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,EN,
J4,Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal,1,Conn_VCC,
C11,C_0805_2012Metric,1,10uF,
U3,PCM5102_Breakout,1,PCM5102_Breakout,
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,CANRX,
H2,MountingHole_3.2mm_M3_BARE,1,MountingHole,
C6,C_0805_2012Metric,1,0.1uF,
U7,SOT-223-3_TabPin2,1,NCP1117LPST33T3G,
J2,PinHeader_2x03_P2.54mm_Vertical,1,I2S_MIC,
U5,TSOT-23,1,SZMMBZ15VALT3G,
C2,C_0805_2012Metric,1,2.2uF,
R11,R_1206_3216Metric,1,4.7K,
C9,C_0805_2012Metric,1,10uF,
J1,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08,
J5,Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal,1,Conn_CAN_IBUS,
