"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3,R6,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"470";;;
2;"ICM1";"SAAB_SID_CONNECTOR_HEADER";1;"ICM_CONN";;;
3;"SID1";"SAAB_SID_CONNECTOR_HEADER";1;"SID_CONN";;;
4;"R1,R18";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1K";;;
5;"D10,D11";"D_SOD-123";2;"1N5819";;;
6;"D8,D12,D13";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED0";;;
7;"D9";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_IO2";;;
8;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED7";;;
9;"U4,U3,U7";"SOIC-8_3.9x4.9mm_P1.27mm";3;"SN65HVD232";;;
10;"J2";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
11;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED6";;;
12;"I-BUS1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
13;"Q2,Q1";"SOT-23";2;"BSS138";;;
14;"R4,R7,R5,R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1k";;;
15;"X1";"S53305-16.000-X";1;"S53305-24.000-X";;;
16;"U2";"SOT-223-3_TabPin2";1;"MCP1703A-3302_SOT223";;;
17;"U6";"ESP32-WROOM-32U";1;"ESP32-WROOM-32U";;;
18;"C8,C1,C9,C4,C6,C3,C2,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"1uF";;;
19;"SW2";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_FLASH";;;
20;"U1";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"SC16IS752IPW";;;
21;"C7";"CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder";1;"10uF";;;
22;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_EN";;;
23;"U5";"SSOP-28_5.3x10.2mm_P0.65mm";1;"CY7C65213-28PVXI";;;
24;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED5";;;
25;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED4";;;
26;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED3";;;
27;"D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED2";;;
28;"D7";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED1";;;
29;"J1";"PinHeader_2x05_P1.00mm_Vertical";1;"SPI + UART";;;
